SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,MARKETDIST
PAST SALE,December-24-2020,Single Family Residential,3238 Glendon Ave,Los Angeles,CA,90034,2515000,4,4.5,Palms - Mar Vista,3025,6125,1940,292,831,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3238-Glendon-Ave-90034/home/6752791,TheMLS,20-650690,N,Y,34.0279335,-118.418004,
PAST SALE,November-23-2020,Single Family Residential,3608 Redwood Ave,Los Angeles,CA,90066,2850000,4,4.5,Palms - Mar Vista,3102,4902,2020,323,919,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3608-Redwood-Ave-90066/home/6746272,TheMLS,20-622850,N,Y,34.002077,-118.4486759,
PAST SALE,May-18-2021,Single Family Residential,3613 Ashwood Ave,Los Angeles,CA,90066,1625000,2,1,Palms - Mar Vista,1091,4902,1940,147,1489,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3613-Ashwood-Ave-90066/home/6746278,TheMLS,21-719494,N,Y,34.0022155,-118.4481298,1.4
PAST SALE,June-8-2021,Single Family Residential,3318 Colbert Ave,Los Angeles,CA,90066,2360000,5,3,C13 - Palms - Mar Vista,2861,7500,1947,126,825,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3318-Colbert-Ave-90066/home/6750424,CRISNet,SR21096877,N,Y,34.0189103,-118.4331502,
PAST SALE,August-18-2021,Single Family Residential,3745 Redwood Ave,Los Angeles,CA,90066,1645000,3,1,Palms - Mar Vista,1207,5216,1939,55,1363,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3745-Redwood-Ave-90066/home/6746517,TheMLS,21-762862,N,Y,33.999139,-118.4469848,
PAST SALE,January-8-2021,Single Family Residential,3969 Alla Rd,Los Angeles,CA,90066,1550000,3,2,Palms - Mar Vista,1422,5952,1946,277,1090,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3969-Alla-Rd-90066/home/6740455,TheMLS,20-624334,N,Y,33.9949017,-118.4404285,
PAST SALE,September-13-2021,Single Family Residential,3300 Mclaughlin Ave,Los Angeles,CA,90066,3800000,5,4.5,Palms - Mar Vista,4135,7357,2018,29,919,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3300-McLaughlin-Ave-90066/home/6749388,TheMLS,21-759768,N,Y,34.0182308,-118.4341757,
PAST SALE,June-29-2021,Single Family Residential,3246 Federal Ave,Los Angeles,CA,90066,2383000,3,2,Palms - Mar Vista,2069,7835,1947,105,1152,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3246-Federal-Ave-90066/home/6750420,TheMLS,21-736376,N,Y,34.019273,-118.433538,
PAST SALE,July-20-2021,Single Family Residential,3213 Coolidge Ave,Los Angeles,CA,90066,2474000,4,2,Palms - Mar Vista,2033,7245,1948,84,1217,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3213-Coolidge-Ave-90066/home/6750397,TheMLS,21-734444,N,Y,34.0208051,-118.433492,
PAST SALE,,Single Family Residential,12530 Woodbine St,Los Angeles,CA,90066,1895000,3,2,,1628,5767,1946,,1164,,,,,http://www.redfin.com/CA/Los-Angeles/12530-Woodbine-St-90066/home/6748207,,,N,Y,34.0110662,-118.4415236,
